1,64,0.000026,0.0000233,0.000021
1,128,0.000069,0.0000580,0.000049
1,256,0.000491,0.0003443,0.000262
1,512,0.004363,0.0032860,0.001665
1,1024,0.006032,0.0052110,0.004564
1,2048,0.039674,0.0248307,0.015202
1,4096,0.067491,0.0485743,0.024139
2,64,0.000034,0.0000210,0.000014
2,128,0.000091,0.0000447,0.000003
2,256,0.000402,0.0002823,0.000175
2,512,0.002918,0.0014847,0.000345
2,1024,0.004329,0.0023757,0.000355
2,2048,0.031266,0.0181620,0.00851
2,4096,0.111791,0.0627500,0.011239
4,64,0.00003,0.0000147,0.000007
4,128,0.000091,0.0000653,0.000018
4,256,0.000403,0.0002493,0.000008
4,512,0.002151,0.0014677,0.001069
4,1024,0.003357,0.0020017,0.000428
4,2048,0.016034,0.0119193,0.009101
4,4096,0.097854,0.0771010,0.055769
8,64,0.00006,0.0000393,0.000017
8,128,0.000103,0.0000790,0.000059
8,256,0.000195,0.0001033,0.000038
8,512,0.00148,0.0010570,0.000254
8,1024,0.010384,0.0071890,0.003874
8,2048,0.030614,0.0252953,0.021673
8,4096,0.073318,0.0313733,0.001699
16,64,0.000015,0.000010667,0.000004
16,128,0.000076,0.000042333,0.000014
16,256,0.000433,0.000289667,0.000028
16,512,0.003765,0.002130333,0.000711
16,1024,0.007818,0.004710333,0.002989
16,2048,0.030534,0.025081667,0.019271
16,4096,0.192737,0.080355000,0.010654
32,64,0.000025,0.000022000,0.00002
32,128,0.000087,0.000047333,0.000022
32,256,0.00035,0.000158000,0.000052
32,512,0.003873,0.003047667,0.001511
32,1024,0.006812,0.003225333,0.001292
32,2048,0.024759,0.010260000,0.002632
32,4096,0.101291,0.079298000,0.056147
64,64,0.000027,0.000011333,0.000001
64,128,0.000061,0.000048667,0.000029
64,256,0.000422,0.000411000,0.000403
64,512,0.00068,0.000573000,0.000519
64,1024,0.003964,0.002367000,0.001292
64,2048,0.017638,0.014896000,0.011067
64,4096,0.140678,0.100579000,0.035839
128,64,0.000028,0.000016667,0.000006
128,128,0.000117,0.000061667,0.000026
128,256,0.001008,0.000470333,0.000045
128,512,0.001645,0.001087667,0.000226
128,1024,0.007281,0.005234000,0.001534
128,2048,0.026045,0.013450667,0.006394
128,4096,0.09331,0.062069333,0.004479
256,64,0.00005,0.000027667,0.000012
256,128,0.000243,0.000116000,0.000047
256,256,0.000874,0.000577000,0.000112
256,512,0.00177,0.001019333,0.000582
256,1024,0.010482,0.004489000,0.001079
256,2048,0.0175,0.011463000,0.001999
256,4096,0.120264,0.097856667,0.069871
512,64,0.000043,0.000032333,0.00002
512,128,0.000079,0.000070667,0.000055
512,256,0.00026,0.000115000,0.000031
512,512,0.001216,0.000802333,0.000147
512,1024,0.008957,0.005923000,0.003503
512,2048,0.02125,0.015754000,0.006847
512,4096,0.07206,0.036998667,0.018557
1024,64,0.000014,0.000009333,0.000004
1024,128,0.00019,0.000090000,0.000019
1024,256,0.00042,0.000192333,0.00007
1024,512,0.003195,0.001963333,0.000738
1024,1024,0.007457,0.004893000,0.0018
1024,2048,0.022028,0.019483000,0.016544
1024,4096,0.092551,0.080240333,0.06701
